NPI_DOC,PFNAME,PLNAME,NPI_ORG,ORG_NAME,DOC_SPECIALTY,DOC_CITY,DOC_COUNTY,DOC_STATE,DOC_ZIP
1740569227,MOHAMED FAHER,ALMAHMOUD,1487669248,LIEBER AND MOORE CARDIOLOGY ASSOCIATES PA,Cardiovascular Disease Physician,KINGWOOD,"Harris ",TX,77339
1578558987,DAVID,HECTOR,1609382662,ETMC PHYSICIAN GROUP INC.,Interventional Cardiology Physician,TYLER,"Smith ",TX,75701
1598074528,SWATI,CHOUDHRY,1861675506,"TEXAS CHILDREN'S PHYSICIAN GROUP",Pediatric Cardiology Physician,HOUSTON,"Harris ",TX,77030
1558556001,JOGGY,GEORGE,1851516272,CARDIOLOGY ASSOCIATES P.A,Cardiovascular Disease Physician,HOUSTON,"Harris ",TX,77030
1174529325,MIKKO,TAURIAINEN,1457651606,"NORTH TEXAS HEART SURGERY CENTER, PLLC",Thoracic Surgery (Cardiothoracic Vascular Surgery) Physician,PLANO,"Collin ",TX,75093
1043297922,JOHN,MULROW,1487965000,"CARDIOLOGY CLINIC OF SAN ANTONIO, PLLC",Cardiovascular Disease Physician,SAN ANTONIO,"Bexar ",TX,78229
1992707012,JON,HEINE,1003985102,MEMORIAL HERMANN MEDICAL GROUP,Interventional Cardiology Physician,HOUSTON,"Harris ",TX,77024
1154561876,OMAR,AWAR,1669505095,MEMORIAL CARDIOLOGY ASSOCIATES PA,Cardiovascular Disease Physician,HOUSTON,"Harris ",TX,77024
1912992082,THADDEUS,TOLLESON,1609382662,ETMC PHYSICIAN GROUP INC.,Interventional Cardiology Physician,TYLER,"Smith ",TX,75701
1174592679,WANPEN,VONGPATANASIN,1760452767,UNIVERSITY OF TEXAS SOUTHWESTERN MEDICAL CENTER AT DALLAS,Cardiovascular Disease Physician,DALLAS,"Dallas ",TX,75390
1003801705,STANISLAV,WEINER,1285684225,CHRISTUS TRINITY CLINIC,Clinical Cardiac Electrophysiology Physician,TYLER,"Smith ",TX,75702
1598734121,ABDUL,ALI,1518929256,"ABDUL ALI,M.D.P.A.",Cardiovascular Disease Physician,HOUSTON,"Harris ",TX,77055
1629074208,MUKESH,SHETH,1548541733,TEXOMACARE SPECIALTY PHYSICIANS,Interventional Cardiology Physician,DENISON,"Grayson ",TX,75020
1891851713,THERESE,FUCHS,1730126392,"ASCENSION MEDICAL GROUP-FOX VALLEY WISCONSIN, INC",Clinical Cardiac Electrophysiology Physician,LIVINGSTON,"Polk ",TX,77399
1265403364,SCOTT,SHERRON,1770887374,"SCOTT R. SHERRON, MD, PA",Cardiovascular Disease Physician,HOUSTON,"Harris ",TX,77030
1013116805,TIM,ISSAC,1356892558,"PREMIER CARDIOVASCULAR CARE OF DALLAS, PLLC",Cardiovascular Disease Physician,DUNCANVILLE,"Dallas ",TX,75116
1861490955,KAMALA,TAMIRISA,1689984585,"CARDIOLOGY SPECIALISTS OF NORTH TEXAS, PLLC",Clinical Cardiac Electrophysiology Physician,DALLAS,"Dallas ",TX,75243
1508041534,MICHAEL,SEAWELL,1588008247,RENAISSANCE CARDIOLOGY GROUP,Interventional Cardiology Physician,EDINBURG,"Hidalgo ",TX,78539
1609859776,EDMOND,OWEN,1093779704,SCOTT & WHITE CLINIC,Thoracic Surgery (Cardiothoracic Vascular Surgery) Physician,ROUND ROCK,"Williamson ",TX,78665
1679671127,SALIM,DABAGHI,1134227564,"SALIM F DABAGHI, MD, PA",Cardiovascular Disease Physician,ANGLETON,"Brazoria ",TX,77515
1689607616,PIERRE,ZOLDHELYI,1922061993,SCOTT & WHITE CLINIC,Cardiovascular Disease Physician,BRENHAM,"Washington ",TX,77833
1356669154,XIANFENG,WEN,1487669248,LIEBER AND MOORE CARDIOLOGY ASSOCIATES PA,Cardiovascular Disease Physician,KINGWOOD,"Harris ",TX,77339
1578579298,MIGUEL,ZABALGOITIA-REYES,1447639265,HMC RGV PHYSICIANS GROUP,Cardiovascular Disease Physician,WESLACO,"Hidalgo ",TX,78596
1255775748,AHMAD,AL-TAWEEL,1275574139,DAVID HAMER MD PA,Cardiovascular Disease Physician,WEBSTER,"Harris ",TX,77598
1861493389,BRENDA,PEABODY,1740485879,"BAYLOR ST. LUKE'S MEDICAL GROUP",Cardiovascular Disease Physician,THE WOODLANDS,"Montgomery ",TX,77384
1497878474,KEVIN,FORMES,1285664763,PERMIAN PREMIER HEALTH SERVICES INC,Interventional Cardiology Physician,TEXARKANA,"Bowie ",TX,75501
1396778601,SHAWN,TITTLE,1275779225,TMH PHYSICIAN ASSOCIATES PLLC,Thoracic Surgery (Cardiothoracic Vascular Surgery) Physician,BAYTOWN,"Harris ",TX,77521
1356521421,KEVIN,HAYES,1215974076,JAMES M HURLEY MD PA,Clinical Cardiac Electrophysiology Physician,TEXARKANA,"Bowie ",TX,75503
1386608370,WILLIAM,NESBITT,1689984585,"CARDIOLOGY SPECIALISTS OF NORTH TEXAS, PLLC",Clinical Cardiac Electrophysiology Physician,NORTH RICHLAND HILLS,"Tarrant ",TX,76180
1982895850,DUSTIN,AGAN,1003985102,MEMORIAL HERMANN MEDICAL GROUP,Interventional Cardiology Physician,HOUSTON,"Harris ",TX,77090
1700857471,DAVID,PEDERSON,1487965000,"CARDIOLOGY CLINIC OF SAN ANTONIO, PLLC",Clinical Cardiac Electrophysiology Physician,SAN ANTONIO,"Bexar ",TX,78229
1346283439,KEVIN,THELEMAN,1235135906,HEALTHTEXAS PROVIDER NETWORK,Cardiovascular Disease Physician,GRAPEVINE,"Tarrant ",TX,76051
1285613851,PETER,MACANDER,1497901458,THE CHRIST HOSPITAL CARDIOVASCULAR ASSOCIATES LLC,Cardiovascular Disease Physician,LONGVIEW,"Gregg ",TX,75601
1245254515,STEPHEN,DEWAN,1326061714,"CARDIOTHORACIC AND VASCULAR SURGEONS,PA",Thoracic Surgery (Cardiothoracic Vascular Surgery) Physician,AUSTIN,"Travis ",TX,78756
1568553733,ARMISTEAD,WELLFORD,1598958431,"BHS PHYSICIANS NETWORK, INC",Cardiovascular Disease Physician,SAN ANTONIO,"Bexar ",TX,78217
1306897186,LORREN,MOTT,1821202581,"HEART CENTER OF NORTH TEXAS, PA",Cardiovascular Disease Physician,WEATHERFORD,"Parker ",TX,76086
1932352572,SAAMIR,HASSAN,1073574810,PHYSICIANS REFERRAL SERVICE,Cardiovascular Disease Physician,HOUSTON,"Harris ",TX,77030
1881672103,MOHAMED,JEROUDI,1417094665,MOHAMED O JEROUDI MD PA,Cardiovascular Disease Physician,PASADENA,"Harris ",TX,77505
1669438552,PREM,PILLAY,1033551312,DALLAS MEDICAL PHYSICIAN GROUP,Cardiovascular Disease Physician,MESQUITE,"Dallas ",TX,75149
1376595256,JAIME,GOMEZ,1023337839,JAIME S GOMEZ MDPA,Cardiovascular Disease Physician,BROWNSVILLE,"Cameron ",TX,78526
1538195938,CARLOS,JESSURUN,1538447586,EAST HOUSTON SPECIALISTS PLLC,Cardiovascular Disease Physician,HOUSTON,"Harris ",TX,77030
1083672778,DAVID,HAYNIE,1992151740,TEXAS HEALTH PHYSICIANS GROUP,Cardiovascular Disease Physician,LEWISVILLE,"Denton ",TX,75067
1952589970,JOSE,MENDEZ- MARTINEZ,1255690046,"LAS PALMAS DEL SOL CARDIOLOGY, PLLC",Cardiovascular Disease Physician,EL PASO,"El Paso ",TX,79902
1376754879,BRANDON,HILL,1053767897,TEXAS HEALTH PHYSICIANS GROUP,Thoracic Surgery (Cardiothoracic Vascular Surgery) Physician,DALLAS,"Dallas ",TX,75231
