Year,HCPCS Code,NPI_DOC,SRVS_ASC_PHY,SRVS_IP_PHY,SRVS_OFF,SRVS_OP_PHY,ALWD_ASC_PHY,ALWD_IP_PHY,ALWD_OFF,ALWD_OP_PHY,PAID_ASC_PHY,PAID_IP_PHY,PAID_OFF,PAID_OP_PHY
2019,93010,1740398577,,41,,35,,342.22,,284.46,,266,,226.8
2020,93010,1184678310,,513,,254,,4282.84,,1669.14,,3453.53,,1338.39
2019,93010,1184678310,,827,,409,,6823.48,,3073.81,,5400.8,,2432.92
2021,93010,1184678310,,450,,161,,3601.59,,1056.9,,2912.78,,856.7
2020,93010,1821089285,,89,,28,,764.72,,243.32,,609.5,,194.46
2019,93010,1821089285,,68,,13,,580.89,,104.04,,455.6,,81.6
2021,93010,1821089285,,52,,36,,420.5,,277.53,,336.5,,222.09
2020,93010,1629360326,,410,116,213,,3877.8,944.16,1922.04,,2976.42,673.95,1415.78
2019,93010,1629360326,,253,80,104,,2371.64,675.2,979.04,,1852.99,492.36,734.57
2021,93010,1629360326,,378,133,121,,3300.78,1016.25,1040.64,,2457.35,731.09,793.05
2020,93010,1679528244,,,14,2,,,118.02,8.43,,,80.58,6.61
2019,93010,1679528244,,1,28,17,,8.44,236.32,143.48,,6.67,180.09,113.39
2021,93010,1679528244,,,6,2,,,40.65,8.13,,,33.05,6.61
2020,93010,1285679431,,80,4,27,,413.57,25.67,60.34,,336.65,20.75,49.14
2019,93010,1285679431,,14,5,55,,120.4,34.08,464.4,,96.18,27.22,370.98
2021,93010,1285679431,,29,,15,,183.48,,66.72,,149.16,,54.24
2020,93010,1417116104,,443,47,172,,4063.26,396.21,1492.11,,3009.49,246.28,1117.16
2019,93010,1417116104,,476,56,182,,4363.48,464.2,1561.4,,3349.38,326.36,1138.96
2021,93010,1417116104,,409,26,99,,3617.85,178.86,853.65,,2460.55,123.5,650.1
2020,93010,1124082128,,,2,,,,8.43,,,,6.85,
2019,93010,1124082128,,1,,,,8.44,,,,6.72,,
2020,93010,1629333455,,195,2,234,,1618.56,8.43,1964.19,,1270.46,6.61,1540.19
2019,93010,1629333455,,60,2,75,,506.4,8.44,624.56,,396.6,6.61,489.14
2021,93010,1629333455,,16,,44,,121.95,,341.46,,98.85,,237.24
2020,93010,1457649592,,,,3,,,,16.86,,,,6.74
2019,93010,1033300074,,1604,,1386,,13293,,11562.8,,10335.51,,8992.2
2021,93010,1609986165,,,2,,,,8.13,,,,6.6,
2020,93010,1386616613,,215,,91,,1845.47,,644.59,,1473.99,,511.48
2019,93010,1386616613,,110,,92,,912.08,,517.43,,723.84,,403.68
2021,93010,1386616613,,163,,69,,1348.63,,584.12,,1066.4,,460.96
2020,93010,1659639433,,867,,294,,6862.02,,2419.41,,5266.63,,1809.91
2019,93010,1659639433,,79,,37,,616.12,,303.84,,492.02,,242.64
2021,93010,1659639433,,992,107,295,,7707.24,853.65,2349.57,,5205.93,666.2,1551.08
2020,93010,1326048588,,1,,,,8.43,,,,6.85,,
2019,93010,1326048588,,142,8,268,,1308.2,59.08,2245.04,,956.99,40.44,1663.68
2021,93010,1326048588,,,,2,,,,8.13,,,,6.61
2020,93010,1043297989,,300,,105,,2486.85,,868.29,,1977.49,,687.48
2019,93010,1043297989,,6,,4,,50.64,,25.32,,39.66,,19.83
2021,93010,1043297989,,403,,159,,3211.35,,1227.63,,2608.28,,993
2020,93010,1245215516,,415,6,360,,2310.16,43.1,2284.3,,1868.27,34.68,1850.64
2019,93010,1245215516,,77,2,294,,602,8.6,2476.8,,479.5,6.85,1961.02
2021,93010,1245215516,,332,2,418,,2210.1,8.34,2793.9,,1785.46,6.75,2246.7
2020,93010,1033113493,,228,2,143,,2099.07,8.43,1230.78,,1654.32,6.85,970.69
2019,93010,1033113493,,297,6,283,,2776.76,42.2,2380.08,,2163.48,33.3,1848.74
2021,93010,1033113493,,1,2,2,,8.13,8.13,8.13,,6.58,6.58,6.58
2020,93010,1194710970,,2,,,,8.69,,,,6.95,,
2019,93010,1194710970,,9,,,,69.36,,,,54.4,,
2021,93010,1639331473,,,3,,,,17.18,,,,13.74,
2020,93010,1881695930,,148,,77,,1112.76,,606.96,,880.85,,484.12
2019,93010,1881695930,,102,,135,,852.44,,1063.44,,680.74,,849.24
2021,93010,1881695930,,109,,116,,626.18,,869.91,,500.64,,656.5
2020,93010,1972766467,,100,,27,,853.21,,193.86,,689.34,,156.1
2019,93010,1972766467,,112,,23,,910.28,,157.26,,715.06,,123.52
2021,93010,1972766467,,71,,16,,571.63,,127.68,,460.84,,103.5
2020,93010,1649249152,,23,2,23,,193.43,8.41,168.2,,155.97,6.69,135.34
2019,93010,1649249152,,53,4,42,,396.21,25.29,244.26,,316.31,20.19,188.29
2021,93010,1649249152,,17,3,10,,137.7,16.2,81,,110.16,6.48,64.8
2020,93010,1891799144,,75,,115,,715.23,,1006.62,,577.27,,815.22
2019,93010,1891799144,,150,3,113,,1490.9,17.54,929.62,,1148.02,13.9,736.69
2021,93010,1891799144,,,3,110,,,17.18,979.26,,,13.92,793.48
2020,93010,1013183870,,285,17,222,,2326.68,150.11,1652.28,,1880.98,99.96,1328.88
2019,93010,1013183870,,226,18,243,,1721.76,157.86,1848.69,,1374.96,94.07,1476.33
2021,93010,1013183870,,297,21,229,,2260.14,162.29,1593.48,,1831.24,110.78,1287
2019,93010,1760486757,,,,8,,,,59.08,,,,46.27
2020,93010,1770807612,,,2,,,,8.58,,,,6.86,
2021,93010,1770807612,,10,,3,,81.3,,16.26,,65,,13
2019,93010,1447632971,,,2,,,,8.44,,,,6.65,
2020,93010,1588629497,,60,2,73,,520.97,8.83,644.59,,417.76,7.14,516.46
2019,93010,1588629497,,124,2,168,,1078.71,8.77,1420.74,,836.63,6.89,1114.44
2021,93010,1588629497,,48,2,37,,377.96,8.59,309.24,,304.92,6.93,230.75
2020,93010,1467454736,,875,,287,,7331.83,,2412.3,,5910.03,,1945.38
2019,93010,1467454736,,1412,,518,,11887.99,,4362.63,,9412.06,,3456.51
2021,93010,1467454736,,1041,2,355,,8202.11,8.3,2831.18,,6680.31,6.76,2282.67
2020,93010,1124228093,,57,,48,,494.48,,256.07,,379.42,,204.53
2019,93010,1124228093,,10,,5,,78.93,,35.08,,62.64,,27.84
2021,93010,1124228093,,381,,268,,3264.2,,2241.99,,2593.76,,1790.94
2020,93010,1225072507,,2,,,,8.83,,,,7.14,,
2019,93010,1013965482,,81,65,32,,657.28,507.52,266.24,,522.19,398.4,201.09
2021,93010,1013965482,,,,1,,,,8.01,,,,6.41
2020,93010,1891798856,,546,,270,,4341.45,,1180.2,,3453.03,,939.57
2019,93010,1891798856,,601,,344,,4439.44,,1882.12,,3529.46,,1496.33
2021,93010,1891798856,,495,,263,,3821.1,,1178.85,,3048.5,,942.5
2019,93010,1376704510,,,5,4,,,25.55,25.32,,,19.49,18.77
2020,93010,1578558987,,432,3,513,,3549.03,16.86,4223.43,,2805.09,13.66,3243.3
2019,93010,1578558987,,367,3,506,,3046.84,16.88,4186.24,,2353.92,13.42,3105.02
2021,93010,1578558987,,325,,393,,2341.44,,3138.18,,1867.59,,2461.46
2020,93010,1932294469,,65,,116,,539.52,,944.16,,428.24,,750.72
2019,93010,1932294469,,121,,129,,1004.36,,1029.68,,798.49,,818.62
2021,93010,1932294469,,96,2,98,,715.44,8.3,739.83,,572,6.64,591.5
2020,93010,1902024987,,29,39,164,,247.24,291.39,1545.25,,197.97,232.32,1245.78
2019,93010,1902024987,,103,55,87,,877,464.81,631.44,,699.88,371,485.1
2021,93010,1902024987,,11,,103,,85.9,,919.13,,69.6,,737.8
2020,93010,1487716247,,,3,,,,16.86,,,,13.48,
2020,93010,1295811099,,12,,30,,114.79,,256.07,,93.35,,193.02
2019,93010,1295811099,,16,,85,,157.86,,692.83,,124.54,,515.99
2021,93010,1295811099,,63,,159,,506.81,,1348.63,,412.42,,1013.68
2020,93010,1568446292,,6,2,68,,42.72,8.62,177.03,,34.59,6.87,121.9
2019,93010,1568446292,,20,4,95,,143.64,25.32,759.76,,114.71,20.22,606.73
2021,93010,1568446292,,23,,122,,113.82,,252.03,,92.54,,204.91
2020,93010,1760430458,,630,,178,,5222.69,,1468.61,,4226.53,,1185.03
2019,93010,1760430458,,770,,283,,6372.45,,2306.22,,5049.45,,1820.55
2021,93010,1760430458,,872,,232,,6696.05,,1730.5,,5434.01,,1409.49
2020,93010,1639322407,,3,,19,,17.66,,150.11,,14.12,,84.58
2019,93010,1639322407,,2,,28,,8.77,,245.56,,6.88,,165.12
2021,93010,1639322407,,2,,40,,8.59,,188.98,,6.87,,123.66
2020,93010,1861528234,,391,,110,,3279.27,,902.01,,2621.62,,726.89
2019,93010,1861528234,,606,,245,,4717.96,,1797.72,,3739.45,,1431.36
2021,93010,1861528234,,464,,212,,3674.76,,1617.87,,2985.62,,1317.38
2020,93010,1629160437,,,,7,,,,52.98,,,,35.85
2019,93010,1629160437,,2,,,,8.74,,,,6.95,,
2021,93010,1629160437,,,,2,,,,8.59,,,,6.95
2020,93010,1639206006,,126,,138,,1086.09,,1076.86,,862.78,,851.54
2019,93010,1639206006,,178,,163,,1525.98,,1096.25,,1197.12,,860
2021,93010,1639206006,,170,,115,,1382.99,,944.9,,1106.07,,736.22
2020,93010,1386873370,,66,11,27,,530.09,95.33,225.94,,423.95,76.24,180.7
2021,93010,1386873370,,18,,16,,142.97,,134.56,,114.41,,107.68
2020,93010,1144318270,,40,2,110,,354.06,8.43,876.72,,284.97,6.85,710.91
2019,93010,1144318270,,163,,129,,1477,,987.48,,1179.47,,788.59
2021,93010,1144318270,,48,2,150,,398.37,8.13,1089.42,,324.38,6.62,874.49
2020,93010,1992723241,,146,,33,,643.06,,173.8,,510.38,,137.74
2019,93010,1992723241,,63,2,49,,537.54,8.67,390.15,,421.6,6.88,306
2021,93010,1992723241,,56,,27,,445.73,,210.25,,356.69,,168.25
2020,93010,1528039393,,238,,98,,1997.91,,800.85,,1592.21,,640.31
2019,93010,1528039393,,864,,345,,7140.24,,2658.6,,5585.45,,2076.32
2021,93010,1528039393,,555,,213,,4471.5,,1626,,3641,,1311.56
2020,93010,1871600866,,411,,206,,3439.44,,1652.28,,2721.19,,1304.94
2019,93010,1871600866,,791,2,284,,6380.64,8.44,2287.24,,4991.72,6.61,1773.93
2021,93010,1871600866,,121,,53,,975.6,,406.5,,794.4,,331
2020,93010,1306841366,,583,3,378,,5572.23,16.86,3363.57,,4382.54,13.7,2674.51
2019,93010,1306841366,,457,2,377,,4490.08,8.44,3409.76,,3515.52,6.66,2690.7
2021,93010,1306841366,,395,,267,,3593.46,,2292.66,,2783.36,,1771.59
2021,93010,1437591211,,210,23,149,,1673.59,192.87,1160.58,,1348.44,155.94,919.32
